owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images,username,followers,following
36063641,christendominique,C3_GS1ASeWI,False,"I’m a brunch & Iced Coffee girlie☕️🍳 

Top @ta3 X @nazaninkavari 

hbu?",268,16382,1709326758.0,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/430974774_18418670632031642_5697489775672449864_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=nYbyc3bq0TUAX8IOwlm&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfARXlvLAt1ALtcbKPME-_PopUpz0RCCr5Ga0_Ag3H7mvw&oe=65E871E6&_nc_sid=8b3546,True,christendominique,2144626.0,1021.0
344130218,christianziegler,C0np-4-IWEu,False,"We invite you to join me and authors Rachel Page, Dina Dechmann, Teague O’Mara and Marco Tschapka, for a public webinar on Wed Dec 13 at 10am Panamá time. Together, the five of us will discuss our newly published book, BAT ISLAND, taking you on a photographic journey to the rainforests of Barro Colorado Island, Panamá, to meet the 76 species of bats that occupy this small space, and learn about their stunning natural history, physiology, evolution, sensory adaptations, foraging behavior, and social systems.
 
Join us on zoom at http://www.stri.si.edu/batisland",1,160,1702097712.0,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/408819371_18400924300002219_5662068570603544995_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=0gbIlQ4ntxQAX93RYmK&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCn-j8bQz3nLr7Bpl7bpAeFP8F8BE7dHtDsMeSct3tDXg&oe=65E8AA05&_nc_sid=8b3546,False,christianziegler,127459.0,669.0
46755025637,mangrovephotographyawards,CuU74i5Krh-,False,"👀 Photography is a powerful medium for connecting people to a beautiful world they otherwise may not be able to see. And we can’t protect what we don’t know about.
 
Tropical ecologist turned photojournalist and former Awards judge @christianziegler has seen with his own eyes how important Belize’s mangroves are for people and wildlife. Today, he gives people a glimpse of the forest’s incredible three life zones and the unique species that rely on each. 

👉 Journey over the canopy, through the roots, and below the water. Link in bio.

Image credit: Christian Ziegler

#mangrove #mangroveforests #generationrestoration #photojournalist #conservation #treecanopy #mangroveroots #wildlife #marinelife #underwater #explorebelize",1,292,1688584661.0,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/357756681_998609204488489_211088206779482092_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ERMlwHbXY7UAX949f0H&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDFTV08w0vsByg6QWoDWotNl9FAQMfc2FdxUUO1-UVU8g&oe=65E85708&_nc_sid=8b3546,True,,,
40506412,christinehmcconnell,C3Ijw9rAkK4,True,"Handmade gift ideas for that someone special in your basement…🤫🐑🐑🐑

The full 2020 Valentine’s Day episode is available on Patreon 🎉♥️🎉",620,36447,1707496870.0,,https://instagram.ffor43-1.fna.fbcdn.net/v/t51.2885-15/426373765_1447515596167774_7633290796409157110_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.ffor43-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=WdpTOjLAlxsAX9x5n9K&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBXaBhiArJJX--1ZP3y_TjI4sXNRjbWhM2ONmMGb3aaYw&oe=65E57129&_nc_sid=8b3546,False,christinehmcconnell,597189.0,1576.0
234714607,christopherandersonphoto,CuT5PN8tc-J,False,"After 18 years as a member of Magnum Photos, I have decided to leave the cooperative. I’m grateful to my Magnum colleagues for years of inspiration, and I continue to root for the success of Magnum. 
Today I am extremely thrilled (over the moon) to announce that I am joining We Folk as my new photographic home, where I am lucky to be in the presence of a new set of incredible visual artists. I can hardly contain my excitement for this new adventure
@wefolkagency",254,15159,1688549719.0,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/358001619_241274745387140_8404344863124573628_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=wkVyCgqmWYcAX-Sl5GP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBmOfcl4Tkr8gBZ54vG0CdioaTEpcWCV0a6IssF7X0FYA&oe=65E53CA1&_nc_sid=8b3546,True,christopherandersonphoto,289844.0,964.0
330497544,images_vevey,C3pcxFHoYRY,False,"Christopher Anderson - Family Trilogy

📍L’Appartement – Espace Images Vevey
LES CHAMBRES

Christopher Anderson a commencé à photographier sa famille de manière quasiment organique dès la naissance de son fils Atlas en 2008. À la naissance de sa fille Pia il poursuit cette quête d’un père essayant d’arrê­ter le temps, de ne laisser fuir aucun instant de sa nouvelle vie. Marion est omniprésente dans ces albums à la fois comme femme, mère et partenaire. En tant que photographe documentaire, Anderson n’avait jamais considéré ces photos personnelles comme une véritable série, jusqu’à ce que le photographe de guerre Tim Hetherington lui dise : « Il s’agit du temps qui passe ». Anderson a commencé à voir ses images personnelles sous un nouveau jour et a fini par penser que ces photo­graphies étaient l’oeuvre de sa vie. Pia, Son et Marion ont été publiés en trois livres distincts, formant une trilogie familiale unique, tendre et intime.

- - -

Christopher Anderson naturally began photographing his family after his son Atlas came into the world in 2008. When his daughter Pia was born, he continued the fatherly attempt to stop time and not let a single moment of this new life slip away. Marion features throughout these albums, as a woman, mother, and partner. As a documentary photographer, Christopher Anderson had never considered these personal photos as a ‘series’, but his opinion changed when war photographer Tim Hetherington pointed out that “They’re all about the passage of time.” Christopher Anderson began seeing his family pictures in a new light and realised that they may well be his best work. Pia, Son and Marion were published as three separate books, forming a unique and moving intimate family trilogy.

@christopherandersonphoto

Canada (1970)
Family Trilogy, 2020

Pia, 2020
Son, 2021
Marion, 2022
published by @stanleybarkerbooks

📍Gare CFF de Vevey / Vevey Train Station
Jusqu’au 14 avril / Until April 14th
Mer-dim, 14h-18h / Wed-Sun, 2-6 pm
✨Entrée libre / Free admission

Don’t miss Echo in the toilet 🐕 👀

Vues d’installation / Installation views 📸 @margauxcorda

#lappartementimages
#imagesvevey
#photography",11,1977,1708600343.0,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t39.30808-6/424949502_18416501452001545_5317511270156278496_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=uCdjIKXqlJUAX-HIhdB&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCzIgPSIx5syAyq7jrMWUze5N7WqKD2I4lA3QHxatD7Ew&oe=65E95306&_nc_sid=8b3546,True,,,
2764639,chuck,CACE7g_gbBQ,False,let light in,102,3458,1589167622.0,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/96911449_2900466283574578_353730457654507486_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ouMNkNZ8AJwAX9LPtAd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBNYJUSE5VFCnr_cHuNywdjuAKb0iDFraAxWfD1we2JFw&oe=65E9941A&_nc_sid=8b3546,True,chuck,169331.0,672.0
35843209,cintascotch,C1ABSmGMu1d,True,"Check out my 2023 reel! 🎥

I invite you also to visit my updated portfolio with all my animations, personal illustrations and commercials from this year. I hope you like it! 🙌

#stopmotions #stopmotionslovers #stopmotionvideo #stopmotionanimation #roughanimator #aftereffects",25,297,1702915298.0,"{'id': '220705331', 'has_public_page': True, 'name': 'Guayaquil, Ecuador', 'slug': 'guayaquil-ecuador'}",https://instagram.fkiv2-1.fna.fbcdn.net/v/t51.2885-15/412156946_659786659655518_282390393284804122_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fkiv2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Vp7-rlYUaxcAX-4iBuJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD6hnEaMWKmmLhOFpevdVSrBvlleBjp6YFDyUX8e1s4EA&oe=65E56498&_nc_sid=8b3546,False,cintascotch,157251.0,529.0
29276642,ciriljazbec,Ctg_1dGIYil,True,"My new website is live! Thanks for great work and art direction to @emilkozole and @ljudje . The website features selected projects both personal and commissioned. Follow link in my profile to check it out. 🙏
@lairdandgoodcompany",29,806,1686842115.0,,https://instagram.fbey15-1.fna.fbcdn.net/v/t51.2885-15/353773210_588965926700505_4534244670623325780_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbey15-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=83l09nnQeBEAX_sAw2W&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBccHyMtjrDpN2fftxWWyDDOH7AGEDicrGGjZnWlNZZCA&oe=65E57E1C&_nc_sid=8b3546,False,ciriljazbec,203651.0,1960.0
1656681,civilking,C2xaywPIzKy,False,"Radisson Blu Hotel & Spa, İstanbul Tuzla’da çok keyifli bir hafta sonu geçirdik. ✨
Otelin hem Sabiha Gökçen Havaalanına yakınlığı hem de şehirdeki en büyük Spa’lardan birine sahip olması, seyahat öncesi veya sonrası için çok iyi bir tercih.
@radissonhotels @radissonblutuzla
@radissonblu
#işbirliği",76,13337,1706720260.0,"{'id': '220944720', 'has_public_page': True, 'name': 'Radisson Blu Hotel & Spa, Istanbul Tuzla', 'slug': 'radisson-blu-hotel-spa-istanbul-tuzla'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/424631381_1835504113556446_495064670823066927_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=osYllHhh12cAX-0WcvG&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAfEfaHepStDtpGSCPszY-eXlbrCSWLRcqFofBaV0LMFA&oe=65E831FF&_nc_sid=8b3546,True,civilking,1101085.0,357.0
